day, 8, 9, 10, 11,12, 13, 14, 15, 16
Mon,0,algoritmalar,elektronik|algoritmalar,elektronik|algoritmalar,0,matematik,matematik,0,0
Tue,0,languages,lanugages,languages,0,microprocessors,microprocessors,0,0
Wed,bilisim,bilisim,introduction,introduction,0,microprocessors,microprocessors,0,matematik
Thu,0,0,introduction|mathematics,introduction|mathematics,0,mathematics,automata,automata,automata
Fri,0,olasilik,olasilik,olasilik,0,0,english,english,english
